"","estimate","std_err","wald","pval","AdjPvalue"
"Klebisiella pneumoniae et rel.:bmi_groupobese:timepoint.within.group2",-0.427,0.538,-0.795,0.427,0.931
"Lachnobacillus bovis et rel.:bmi_groupobese:timepoint.within.group2",-0.578,0.528,-1.093,0.274,0.887
"Lachnospira pectinoschiza et rel.:bmi_groupobese:timepoint.within.group2",-0.406,0.509,-0.798,0.425,0.931
"Lactobacillus catenaformis et rel.:bmi_groupobese:timepoint.within.group2",0.215,0.589,0.365,0.715,0.966
"Lactobacillus gasseri et rel.:bmi_groupobese:timepoint.within.group2",-0.104,0.481,-0.217,0.828,0.966
"Lactobacillus plantarum et rel.:bmi_groupobese:timepoint.within.group2",-0.084,0.489,-0.172,0.864,0.966
"Lactobacillus salivarius et rel.:bmi_groupobese:timepoint.within.group2",-0.006,0.517,-0.011,0.991,0.997
"Lactococcus:bmi_groupobese:timepoint.within.group2",-0.193,0.494,-0.391,0.696,0.966
"Leminorella:bmi_groupobese:timepoint.within.group2",-0.031,0.537,-0.058,0.954,0.991
"Megamonas hypermegale et rel.:bmi_groupobese:timepoint.within.group2",-0.098,0.48,-0.204,0.838,0.966
"Megasphaera elsdenii et rel.:bmi_groupobese:timepoint.within.group2",0.004,0.619,0.007,0.994,0.997
"Mitsuokella multiacida et rel.:bmi_groupobese:timepoint.within.group2",-0.351,0.773,-0.454,0.65,0.966
"Moraxellaceae:bmi_groupobese:timepoint.within.group2",0.169,0.574,0.294,0.768,0.966
"Oceanospirillum:bmi_groupobese:timepoint.within.group2",-0.192,0.508,-0.378,0.705,0.966
"Oscillospira guillermondii et rel.:bmi_groupobese:timepoint.within.group2",-0.567,0.548,-1.035,0.301,0.931
"Outgrouping clostridium cluster XIVa:bmi_groupobese:timepoint.within.group2",-0.413,0.52,-0.794,0.427,0.931
"Oxalobacter formigenes et rel.:bmi_groupobese:timepoint.within.group2",-0.228,0.6,-0.38,0.704,0.966
"Papillibacter cinnamivorans et rel.:bmi_groupobese:timepoint.within.group2",0.168,0.51,0.33,0.742,0.966
"Parabacteroides distasonis et rel.:bmi_groupobese:timepoint.within.group2",-0.162,0.586,-0.276,0.782,0.966
"Peptococcus niger et rel.:bmi_groupobese:timepoint.within.group2",-0.203,0.503,-0.403,0.687,0.966
"Peptostreptococcus micros et rel.:bmi_groupobese:timepoint.within.group2",0.024,0.482,0.05,0.96,0.995
"Phascolarctobacterium faecium et rel.:bmi_groupobese:timepoint.within.group2",-0.228,0.521,-0.437,0.662,0.966
"Prevotella melaninogenica et rel.:bmi_groupobese:timepoint.within.group2",0.531,0.835,0.637,0.524,0.939
"Prevotella oralis et rel.:bmi_groupobese:timepoint.within.group2",0.531,0.767,0.693,0.489,0.932
"Prevotella ruminicola et rel.:bmi_groupobese:timepoint.within.group2",-0.07,0.527,-0.132,0.895,0.968
"Prevotella tannerae et rel.:bmi_groupobese:timepoint.within.group2",-0.377,0.587,-0.643,0.521,0.939
"Propionibacterium:bmi_groupobese:timepoint.within.group2",-0.082,0.483,-0.169,0.866,0.966
"Proteus et rel.:bmi_groupobese:timepoint.within.group2",-0.128,0.487,-0.262,0.793,0.966
"Roseburia intestinalis et rel.:bmi_groupobese:timepoint.within.group2",-0.364,0.518,-0.702,0.483,0.931
"Ruminococcus bromii et rel.:bmi_groupobese:timepoint.within.group2",-0.022,0.6,-0.036,0.971,0.997
"Ruminococcus callidus et rel.:bmi_groupobese:timepoint.within.group2",-0.185,0.535,-0.346,0.73,0.966
"Ruminococcus gnavus et rel.:bmi_groupobese:timepoint.within.group2",-0.35,0.503,-0.696,0.487,0.931
"Ruminococcus lactaris et rel.:bmi_groupobese:timepoint.within.group2",-0.551,0.553,-0.996,0.319,0.931
"Ruminococcus obeum et rel.:bmi_groupobese:timepoint.within.group2",-0.164,0.522,-0.313,0.754,0.966
"Serratia:bmi_groupobese:timepoint.within.group2",-0.221,0.676,-0.327,0.744,0.966
"Sporobacter termitidis et rel.:bmi_groupobese:timepoint.within.group2",-0.114,0.534,-0.213,0.831,0.966
"Streptococcus bovis et rel.:bmi_groupobese:timepoint.within.group2",0.233,0.602,0.386,0.699,0.966
"Streptococcus intermedius et rel.:bmi_groupobese:timepoint.within.group2",0.133,0.532,0.25,0.802,0.966
"Streptococcus mitis et rel.:bmi_groupobese:timepoint.within.group2",0.208,0.58,0.358,0.72,0.966
"Subdoligranulum variable at rel.:bmi_groupobese:timepoint.within.group2",-0.395,0.553,-0.714,0.475,0.931
"Sutterella wadsworthia et rel.:bmi_groupobese:timepoint.within.group2",-0.077,0.537,-0.144,0.885,0.967
"Tannerella et rel.:bmi_groupobese:timepoint.within.group2",-0.107,0.533,-0.2,0.841,0.966
"Uncultured Bacteroidetes:bmi_groupobese:timepoint.within.group2",0.286,0.597,0.479,0.632,0.966
"Uncultured Clostridiales I:bmi_groupobese:timepoint.within.group2",-0.457,0.561,-0.815,0.415,0.931
"Uncultured Clostridiales II:bmi_groupobese:timepoint.within.group2",-0.252,0.531,-0.475,0.635,0.966
"Uncultured Mollicutes:bmi_groupobese:timepoint.within.group2",-0.696,0.587,-1.186,0.236,0.853
"Uncultured Selenomonadaceae:bmi_groupobese:timepoint.within.group2",0.31,0.557,0.556,0.578,0.949
"Veillonella:bmi_groupobese:timepoint.within.group2",0.114,0.549,0.207,0.836,0.966
"Vibrio:bmi_groupobese:timepoint.within.group2",-0.251,0.484,-0.518,0.605,0.966
"Weissella et rel.:bmi_groupobese:timepoint.within.group2",0.305,0.562,0.542,0.588,0.951
"Xanthomonadaceae:bmi_groupobese:timepoint.within.group2",0.346,0.692,0.5,0.617,0.966
"Yersinia et rel.:bmi_groupobese:timepoint.within.group2",-0.447,0.497,-0.899,0.369,0.931
